id,loc
7577062,"УБ — Хан-Уул, UB Town"
7636642,"УБ — Баянзүрх, Баянзүрх, Хороо 25"
7636136,"УБ — Баянгол, Алтай хотхон"
7636387,"УБ — Хан-Уул, 120 мянгат"
7636803,"УБ — Хан-Уул, Хурд"
7468548,УБ — Сүхбаатар
7590759,"УБ — Хан-Уул, Зайсан"
7619812,УБ — Сүхбаатар
7627304,"УБ — Хан-Уул, Нисэх"
7527155,"УБ — Баянгол, Нарны хороолол"
7405305,"УБ — Баянзүрх, Баянзүрх, Хороо 4"
7229325,УБ — Сүхбаатар
7571943,"УБ — Хан-Уул, 19-р хороолол"
7571943,"УБ — Хан-Уул, 19-р хороолол"
4154381,"УБ — Хан-Уул, 19-р хороолол"
7405413,"УБ — Сүхбаатар, 11-р хороолол"
7448018,"УБ — Сүхбаатар, 11-р хороолол"
7558649,"УБ — Баянзүрх, Баянмонгол хороолол"
7502436,"УБ — Баянзүрх, Өгөөмөр захын зүүн"
7574652,"УБ — Хан-Уул, Зайсан"
7399688,"УБ — Хан-Уул, Зайсан"
7537241,УБ — Сүхбаатар
7613939,"УБ — Сүхбаатар, 100 айл"
7586906,"УБ — Баянзүрх, Баянзүрх, Хороо 26"
5138471,"УБ — Баянзүрх, 14-р хороолол"
7612447,"УБ — Баянзүрх, Olympic village"
5138471,"УБ — Баянзүрх, 14-р хороолол"
7618203,"УБ — Баянзүрх, 13-р хороолол"
7619163,УБ — Сүхбаатар
7578689,"УБ — Хан-Уул, Нисэх"
7627980,"УБ — Баянгол, Алтай хотхон"
7574511,"УБ — Баянзүрх, Олимп хотхон"
7539302,"УБ — Баянзүрх, Сансар"
7562635,"УБ — Баянзүрх, Сансар"
7607381,УБ — Сүхбаатар
7452735,"УБ — Сүхбаатар, Сүхбаатар, Хороо 20"
7570939,"УБ — Сүхбаатар, 11-р хороолол"
7570939,"УБ — Сүхбаатар, 11-р хороолол"
7543398,"УБ — Сүхбаатар, Сүхбаатар, Хороо 16"
7515755,УБ — Сүхбаатар
7098850,"УБ — Баянзүрх, 13-р хороолол"
7014860,"УБ — Хан-Уул, Нисэх"
7637999,"УБ — Сонгинохайрхан, 21-р хороолол"
7552048,УБ — Сүхбаатар
7555022,"УБ — Баянзүрх, Баянзүрх, Хороо 4"
7102035,"УБ — Хан-Уул, Зайсан"
7557059,"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 29"
7400117,"УБ — Баянгол, Алтай хотхон"
7136986,"УБ — Хан-Уул, UB Town"
7633801,"УБ — Баянзүрх, Офицер"
5880647,"УБ — Хан-Уул, Зайсан"
7596154,"УБ — Хан-Уул, Хан-Уул, Хороо 4"
7596477,"УБ — Баянгол, Алтай хотхон"
7543319,"УБ — Баянзүрх, 13-р хороолол"
7548449,УБ — Сүхбаатар
6959200,"УБ — Сонгинохайрхан, 21-р хороолол"
7596477,"УБ — Баянгол, Алтай хотхон"
7599509,"УБ — Сүхбаатар, 100 айл"
7401463,"УБ — Хан-Уул, Зайсан"
7439040,"УБ — Баянзүрх, Баянзүрх, Хороо 5"
7609170,"УБ — Сонгинохайрхан, 21-р хороолол"
7578879,"УБ — Хан-Уул, Хан-Уул, Хороо 15"
7529230,"УБ — Хан-Уул, Зайсан"
7529230,"УБ — Хан-Уул, Зайсан"
7529230,"УБ — Хан-Уул, Зайсан"
7580694,"УБ — Баянзүрх, Зүүн 4 зам"
7538742,"УБ — Баянгол, 10-р хороолол"
7551769,"УБ — Баянзүрх, Баянзүрх, Хороо 25"
7505691,"УБ — Баянзүрх, Өгөөмөр захын зүүн"
7562269,"УБ — Баянгол, 3, 4 хороолол"
7142770,"УБ — Хан-Уул, Мишээл"
7624266,"УБ — Хан-Уул, Хан-Уул, Хороо 11"
6730395,"УБ — Баянзүрх, 13-р хороолол"
6934575,"УБ — Баянгол, 3, 4 хороолол"
7483999,"УБ — Баянзүрх, Баянмонгол хороолол"
6934575,"УБ — Баянгол, 3, 4 хороолол"
7393167,УБ — Сүхбаатар
7204022,УБ — Сүхбаатар
7538703,"УБ — Баянгол, Баянгол, Хороо 16"
7337951,"УБ — Баянзүрх, Офицер"
7560794,"УБ — Баянзүрх, Баянзүрх, Хороо 25"
7631562,"УБ — Баянзүрх, Баянзүрх, Хороо 25"
7631562,"УБ — Баянзүрх, Баянзүрх, Хороо 25"
7111452,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1"
7533256,"УБ — Баянзүрх, 13-р хороолол"
7484590,"УБ — Баянзүрх, 14-р хороолол"
7547096,"УБ — Баянзүрх, Баянзүрх, Хороо 25"
7388084,"УБ — Баянгол, 10-р хороолол"
7388084,"УБ — Баянгол, 10-р хороолол"
7532484,"УБ — Сүхбаатар, 11-р хороолол"
7597055,УБ — Сүхбаатар
7532484,"УБ — Сүхбаатар, 11-р хороолол"
7592205,"УБ — Хан-Уул, UB Town"
7592180,"УБ — Хан-Уул, UB Town"
7640191,"УБ — Хан-Уул, UB Town"
7509913,УБ — Сүхбаатар
7000682,"УБ — Баянгол, 3, 4 хороолол"
7588237,"УБ — Сүхбаатар, 5-р хороолол"
7443709,"УБ — Баянзүрх, Баянзүрх, Хороо 25"
7443779,"УБ — Баянзүрх, Баянзүрх, Хороо 25"
5034821,"УБ — Баянзүрх, 13-р хороолол"
7039274,"УБ — Баянзүрх, Баянзүрх, Хороо 25"
7178327,"УБ — Хан-Уул, Viva city"
7484839,"УБ — Баянгол, 10-р хороолол"
7388084,"УБ — Баянгол, 10-р хороолол"
7483823,"УБ — Баянгол, 10-р хороолол"
7533042,"УБ — Баянзүрх, Зүүн 4 зам"
7637201,УБ — Баянзүрх
7437086,УБ — Сүхбаатар
7241121,"УБ — Сүхбаатар, Сүхбаатар, Хороо 6"
7354338,УБ — Сүхбаатар
7417876,"УБ — Сүхбаатар, Сүхбаатар, Хороо 8"
7354338,УБ — Сүхбаатар
7417876,"УБ — Сүхбаатар, Сүхбаатар, Хороо 8"
7354338,УБ — Сүхбаатар
7417876,"УБ — Сүхбаатар, Сүхбаатар, Хороо 8"
7569896,"УБ — Хан-Уул, Зайсан"
7570494,"УБ — Хан-Уул, Зайсан"
